uniq_id,product_name,manufacturer,price,number_available_in_stock
995777a914a1edb958a0da25b145643b,Gaugemaster Single Track Controller/ Plug in Transformer,Gaugemaster,£39.03,3 NEW
51bf530a535196413fc510972bcb5a4c,Model Railway 'OO' / 'HO' Scale C83 Battle Of Britain Class 257 Squadron Locomotive Plastic Kit,Dapol,£15.25,0 NEW
b6e86fd32fc87ffbbb21d52f6ad8f06c,Walthers Proto 920-40695 EMD F7A RI No.676 (DCC-Sound),Sohni-Wicke,£167.10,0 NEW
590ad6c0f9bdbbac7887ec4e36eb08a0,Hornby Railroad 00 Gauge LNER Class A1 Flying Scotsman with TTS Sound Steam Locomotive,Hornby,£98.50,9 NEW
225d50e558fd4464b6e1c2416c6b7e4e,Piko 57013 myTrain Diesel Locomotive,Piko,£19.95,0 NEW
835e3add1236908071ebadf0b29776db,Train Tech DS6 One Touch DCC Signal Dual Home (R/G),Train Tech,£35.00,0 NEW
6d73a76c4ee846231cbb889d6b09182c,Kato 10-847 E259 Narita Express 3 Car Powered Set,Kato,£51.61,33 NEW
5152452656955a9bf425a11ba221f016,Hornby R3064 RailRoad BR Smokey Joe 00 Gauge Steam Locomotive,Hornby,£30.99,7 NEW
d160b9ad8d9c7c7ed1c207a77e9934cc,Roco 10908 Seuthe Smoke Oil,Roco,£6.50,2 NEW
f02b2132fcb3460565b5de94c05be8a8,Subway train 500 form three-car basic set red gauge N 10-1134 Marunouchi Line,CATO,£45.75,13 NEW
46c4c76cc40741ab53a8135b42e253c6,Dapol B800 Motorised Track Cleaning Wagon,Dapol,£74.60,4 NEW
28ae83ef10dfcb3959d67de2c4587123,Hornby R1174 Breakdown Hauler Train Set,Hornby,£74.99,3 NEW
1e9876e6f7e98a6bb869341b4b56efd5,Power Trains Auto Loader City,POWER CITY TRAINS,£76.99,2 NEW
7370f538e03a2b5c543d9ab551c41385,[NEW] Pureoroko C-58 water steam [NEW],Train,£27.60,19 NEW
326e553d0be9fdde19a4eba2ee356764,Train Tech SK2 Home Signal Kit with R/G LEDs,Train Tech,£8.00,0 NEW
7ac9dab2688ccf3cc7c8841b00e6c828,Kato 11-105 Small Type Moter Unit (for Bandai's B-train Shorty),Kato,£11.01,27 NEW
65946ec2a36d8c4c7dc4f324ec27d6cf,Class 47 47365 'Diamond Jubilee' BR Railfreight Distribution,Bachmann,£100.00,2 NEW
d00536420b49a24024d1478353930c08,Piko 59497,Piko,£177.99,0 NEW
ffa7ca3452b7fba9bd7d2205a6401e77,"Dapol Model Railway ""City of Truro"" Plastic Kit - OO Scale 1/76",Dapol,£10.20,0 NEW
cda61b59b03b1bb38557774b5f0e6e39,Ratio 575 Permanent Way Set (4 Wagons),Ratio,£22.25,0 NEW
194f1b693807e89a41dbe61ef6cbb55c,Piko H0 57633 H0 2.Kl. Personenwagen der DR B 2. Klasse der DR,Piko,£15.75,3 NEW
c2f2229faa77de1279f2f72649ae3bb4,Hornby 00 Gauge 152mm GNR 0-6-2T Steam Locomotive Model,Hornby,£89.99,3 NEW
21ac3b927d42e0ca97da1384e6221b50,SalesLa New Charming 4 Piece Wood Christmas Railway Wooden Train with 1 Engine Xmas Ornament Decor Gift Green,Sales La,£5.99,0 NEW
cea1292c07ce1d353f3a9d0d89086ee2,Dapol C102A 57ft Stanier Corridor Brake LMS Maroon Lined 5530 Kit,Dapol,£12.30,2 NEW
9eab0ff60b4865bc7a90a7d8770b88cf,Corgi 1:120 Scale Rail Legends 'Trigo' A3 Class Die Cast Stream Locomotive,Corgi,£14.99,12 NEW
799312a77b6debd51fa5a264a248ccc7,Märklin my world Battery Operated Signal,Märklin my world,£7.99,10 NEW
e8b32f46fd73960da6bbfdb019df7a36,Bachmann 35-077 Class E4 0-6-2 32556 BR Black Early Emblem,Bachmann,£104.66,4 NEW
4b15acfc7dc8ff73020661531b9c3a3d,Thomas and Friends Track Master Dockside Delivery Crane Cargo and Cars Set,Mattel,£13.87,6 NEW
